0.0	268.74	262.55	0.0	268.74	262.55	0.0	268.74	262.55	0.0	268.74	262.55	
252.452	269.24	262.76	1548.971	0.573	0.0522924	252.452	269.24	262.76	1548.940	0.539	0.095667	252.452	269.24	262.76	1548.896	0.609	0.0523786	252.452	269.24	262.76	1514.218	0.255	0.00018662	
262.453	269.23	262.74	1548.970	0.575	0.0523707	262.453	269.23	262.74	1548.939	0.540	0.0959176	262.453	269.23	262.74	1548.895	0.609	0.0524413	262.453	269.23	262.74	1514.218	0.256	0.000185658	
272.453	269.26	262.73	1548.970	0.574	0.052328	272.453	269.26	262.73	1548.939	0.539	0.0959121	272.453	269.26	262.73	1548.895	0.608	0.0524261	272.453	269.26	262.73	1514.218	0.256	0.000187034	
282.453	269.29	262.75	1548.971	0.573	0.0522947	282.453	269.29	262.75	1548.940	0.539	0.095884	282.453	269.29	262.75	1548.896	0.608	0.0524289	282.453	269.29	262.75	1514.218	0.255	0.000186272	
292.454	269.32	262.75	1548.970	0.574	0.0523592	292.454	269.32	262.75	1548.939	0.539	0.0958991	292.454	269.32	262.75	1548.896	0.610	0.0525037	292.454	269.32	262.75	1514.218	0.257	0.000187246	
302.455	269.35	262.77	1548.971	0.573	0.0522831	302.455	269.35	262.77	1548.940	0.539	0.095682	302.455	269.35	262.77	1548.896	0.611	0.0524932	302.455	269.35	262.77	1514.219	0.255	0.000186509	
312.455	269.39	262.79	1548.970	0.574	0.0524078	312.455	269.39	262.79	1548.939	0.539	0.095998	312.455	269.39	262.79	1548.895	0.610	0.052515	312.455	269.39	262.79	1514.219	0.259	0.000187889	
322.455	269.41	262.82	1548.971	0.573	0.0522887	322.455	269.41	262.82	1548.940	0.539	0.0957507	322.455	269.41	262.82	1548.896	0.609	0.0524069	322.455	269.41	262.82	1514.219	0.260	0.000188524	
332.456	269.44	262.83	1548.971	0.574	0.0522935	332.456	269.44	262.83	1548.940	0.539	0.0956743	332.456	269.44	262.83	1548.896	0.609	0.0523721	332.456	269.44	262.83	1514.219	0.257	0.000186454	
342.446	269.46	262.82	1548.970	0.574	0.0522635	342.446	269.46	262.82	1548.939	0.539	0.0957607	342.446	269.46	262.82	1548.896	0.607	0.0523128	342.446	269.46	262.82	1514.219	0.259	0.000189252	
352.447	269.46	262.81	1548.970	0.574	0.0523336	352.447	269.46	262.81	1548.939	0.539	0.0959032	352.447	269.46	262.81	1548.896	0.610	0.0524927	352.447	269.46	262.81	1514.219	0.257	0.000186373	
362.447	269.42	262.79	1548.970	0.574	0.052344	362.447	269.42	262.79	1548.939	0.539	0.0957654	362.447	269.42	262.79	1548.895	0.611	0.0524799	362.447	269.42	262.79	1514.219	0.258	0.000186535	
372.448	269.42	262.80	1548.970	0.573	0.0522596	372.448	269.42	262.80	1548.939	0.539	0.0957266	372.448	269.42	262.80	1548.895	0.610	0.0524334	372.448	269.42	262.80	1514.218	0.259	0.000188522	
382.448	269.45	262.83	1548.971	0.574	0.0522635	382.448	269.45	262.83	1548.940	0.539	0.0956879	382.448	269.45	262.83	1548.896	0.610	0.052434	382.448	269.45	262.83	1514.219	0.256	0.000187311	
392.449	269.47	262.86	1548.971	0.573	0.0521837	392.449	269.47	262.86	1548.940	0.538	0.095502	392.449	269.47	262.86	1548.896	0.610	0.0523954	392.449	269.47	262.86	1514.219	0.257	0.000188985	
402.449	269.46	262.85	1548.970	0.576	0.0524825	402.449	269.46	262.85	1548.939	0.541	0.0959684	402.449	269.46	262.85	1548.895	0.611	0.0525	402.449	269.46	262.85	1514.219	0.258	0.000188654	
412.449	269.43	262.82	1548.970	0.574	0.052316	412.449	269.43	262.82	1548.940	0.539	0.0958303	412.449	269.43	262.82	1548.896	0.610	0.0525333	412.449	269.43	262.82	1514.219	0.260	0.000187512	
422.45	269.43	262.79	1548.970	0.574	0.0522824	422.45	269.43	262.79	1548.939	0.539	0.0957492	422.45	269.43	262.79	1548.895	0.611	0.0524797	422.45	269.43	262.79	1514.218	0.255	0.000185645	
432.45	269.43	262.79	1548.971	0.573	0.0520632	432.45	269.43	262.79	1548.940	0.538	0.0952979	432.45	269.43	262.79	1548.896	0.609	0.0522976	432.45	269.43	262.79	1514.218	0.256	0.000187119	
442.451	269.44	262.77	1548.971	0.573	0.0522339	442.451	269.44	262.77	1548.940	0.538	0.0955869	442.451	269.44	262.77	1548.896	0.608	0.0523623	442.451	269.44	262.77	1514.218	0.256	0.000186138	
452.451	269.43	262.76	1548.970	0.574	0.0524457	452.451	269.43	262.76	1548.939	0.540	0.0960801	452.451	269.43	262.76	1548.896	0.609	0.0525331	452.451	269.43	262.76	1514.218	0.255	0.000186399	
462.452	269.42	262.74	1548.970	0.575	0.0522959	462.452	269.42	262.74	1548.939	0.539	0.0957876	462.452	269.42	262.74	1548.895	0.612	0.0525067	462.452	269.42	262.74	1514.219	0.258	0.000187943	
472.453	269.47	262.73	1548.970	0.576	0.0523972	472.453	269.47	262.73	1548.939	0.540	0.0959061	472.453	269.47	262.73	1548.895	0.611	0.0524685	472.453	269.47	262.73	1514.219	0.257	0.00018701	
482.454	269.51	262.76	1548.970	0.574	0.0522712	482.454	269.51	262.76	1548.940	0.539	0.0956668	482.454	269.51	262.76	1548.896	0.611	0.0524642	482.454	269.51	262.76	1514.218	0.255	0.000185415	
492.455	269.51	262.73	1548.971	0.575	0.0523312	492.455	269.51	262.73	1548.940	0.540	0.0956873	492.455	269.51	262.73	1548.896	0.611	0.0524197	492.455	269.51	262.73	1514.219	0.256	0.000186015	
502.457	269.53	262.72	1548.971	0.574	0.0522734	502.457	269.53	262.72	1548.940	0.538	0.0954943	502.457	269.53	262.72	1548.896	0.609	0.0522916	502.457	269.53	262.72	1514.219	0.259	0.000189129	
512.458	269.52	262.70	1548.970	0.575	0.0523723	512.458	269.52	262.70	1548.939	0.539	0.095839	512.458	269.52	262.70	1548.896	0.610	0.0524479	512.458	269.52	262.70	1514.219	0.256	0.000188511	
522.459	269.52	262.70	1548.970	0.575	0.0524123	522.459	269.52	262.70	1548.939	0.539	0.0958471	522.459	269.52	262.70	1548.896	0.608	0.0523972	522.459	269.52	262.70	1514.219	0.257	0.00018757	
532.461	269.53	262.66	1548.970	0.575	0.052391	532.461	269.53	262.66	1548.940	0.540	0.0959117	532.461	269.53	262.66	1548.896	0.611	0.052518	532.461	269.53	262.66	1514.219	0.257	0.000187051	
542.462	269.51	262.68	1548.970	0.575	0.0523753	542.462	269.51	262.68	1548.940	0.540	0.0958005	542.462	269.51	262.68	1548.896	0.612	0.0524754	542.462	269.51	262.68	1514.220	0.257	0.00018887	
552.453	269.49	262.63	1548.970	0.575	0.0523264	552.453	269.49	262.63	1548.939	0.540	0.0957905	552.453	269.49	262.63	1548.895	0.612	0.0524661	552.453	269.49	262.63	1514.219	0.256	0.00018554	
562.455	269.56	262.62	1548.969	0.575	0.0523885	562.455	269.56	262.62	1548.938	0.540	0.0958232	562.455	269.56	262.62	1548.894	0.611	0.0524556	562.455	269.56	262.62	1514.219	0.258	0.00018742	
572.456	269.48	262.60	1548.971	0.574	0.0522477	572.456	269.48	262.60	1548.940	0.539	0.0956992	572.456	269.48	262.60	1548.896	0.611	0.0524483	572.456	269.48	262.60	1514.218	0.257	0.000187966	
582.458	269.52	262.63	1548.969	0.575	0.0523672	582.458	269.52	262.63	1548.938	0.540	0.0959373	582.458	269.52	262.63	1548.894	0.612	0.0525199	582.458	269.52	262.63	1514.219	0.258	0.000187003	
592.459	269.56	262.65	1548.970	0.575	0.0523968	592.459	269.56	262.65	1548.939	0.540	0.0958708	592.459	269.56	262.65	1548.895	0.610	0.0524664	592.459	269.56	262.65	1514.219	0.257	0.0001883	
602.46	269.58	262.68	1548.971	0.574	0.052277	602.46	269.58	262.68	1548.940	0.539	0.0956982	602.46	269.58	262.68	1548.896	0.610	0.0524213	602.46	269.58	262.68	1514.219	0.255	0.000187586	
612.462	269.60	262.69	1548.971	0.574	0.052248	612.462	269.60	262.69	1548.941	0.539	0.0955876	612.462	269.60	262.69	1548.897	0.610	0.0523445	612.462	269.60	262.69	1514.219	0.255	0.000187036	
622.463	269.58	262.68	1548.971	0.574	0.0522179	622.463	269.58	262.68	1548.940	0.538	0.0956153	622.463	269.58	262.68	1548.896	0.608	0.0522824	622.463	269.58	262.68	1514.220	0.258	0.000188743	
632.464	269.57	262.68	1548.971	0.574	0.0522891	632.464	269.57	262.68	1548.940	0.538	0.0956148	632.464	269.57	262.68	1548.896	0.611	0.0524025	632.464	269.57	262.68	1514.219	0.257	0.000185255	
642.466	269.57	262.69	1548.970	0.575	0.0524319	642.466	269.57	262.69	1548.939	0.540	0.0959593	642.466	269.57	262.69	1548.895	0.611	0.052508	642.466	269.57	262.69	1514.220	0.258	0.000186827	
652.467	269.57	262.70	1548.971	0.574	0.0522865	652.467	269.57	262.70	1548.940	0.539	0.0956416	652.467	269.57	262.70	1548.896	0.611	0.0524388	652.467	269.57	262.70	1514.220	0.258	0.00018745	
662.469	269.55	262.69	1548.971	0.574	0.0523278	662.469	269.55	262.69	1548.940	0.540	0.0958267	662.469	269.55	262.69	1548.896	0.611	0.0524723	662.469	269.55	262.69	1514.219	0.258	0.000186963	
672.47	269.56	262.69	1548.971	0.574	0.05229	672.47	269.56	262.69	1548.940	0.540	0.0957789	672.47	269.56	262.69	1548.896	0.611	0.0524323	672.47	269.56	262.69	1514.220	0.258	0.000188103	
682.471	269.55	262.70	1548.970	0.575	0.0522539	682.471	269.55	262.70	1548.940	0.539	0.095624	682.471	269.55	262.70	1548.896	0.610	0.0523641	682.471	269.55	262.70	1514.219	0.257	0.000185986	
