0.594		1510.889	0.490	0.0108167	1515.305	0.484	0.0105858	1519.684	0.490	0.0105928	1524.167	0.514	0.013496	1528.650	0.593	0.0139167	1533.202	0.519	0.0128806	1537.662	0.545	0.0152772	1542.144	0.508	0.0131714	1546.668	0.503	0.014728	1551.152	0.550	0.0143549	1555.637	0.532	0.0138509	1560.194	0.529	0.0136966	1564.712	0.529	0.0147637	1569.161	0.562	0.0159109	1573.718	0.542	0.0139449	1578.224	0.561	0.0155205	1582.773	0.523	0.0108417	1587.297	0.600	0.0145808	
1.592		1510.888	0.492	0.010912	1515.304	0.482	0.0106074	1519.685	0.494	0.0107423	1524.168	0.514	0.0135684	1528.650	0.593	0.0140093	1533.201	0.522	0.0130329	1537.661	0.544	0.015366	1542.143	0.509	0.0133265	1546.668	0.505	0.0148942	1551.153	0.549	0.0145065	1555.636	0.532	0.0139576	1560.195	0.527	0.0137408	1564.713	0.531	0.0149453	1569.163	0.560	0.0159504	1573.717	0.542	0.0139598	1578.225	0.559	0.0155263	1582.774	0.523	0.0108918	1587.296	0.600	0.0146043	
2.587		1510.889	0.490	0.0108862	1515.305	0.482	0.0106526	1519.685	0.495	0.0107964	1524.168	0.513	0.0136343	1528.651	0.592	0.0140623	1533.201	0.521	0.0130783	1537.661	0.544	0.0154361	1542.144	0.508	0.0133807	1546.668	0.502	0.014893	1551.153	0.552	0.0146168	1555.637	0.531	0.0139712	1560.194	0.529	0.0138962	1564.713	0.532	0.0150267	1569.162	0.560	0.0160328	1573.717	0.538	0.0139184	1578.223	0.561	0.0156042	1582.774	0.524	0.0109413	1587.297	0.600	0.0145723	
3.592		1510.889	0.490	0.0109165	1515.305	0.482	0.0106704	1519.685	0.492	0.0107625	1524.168	0.513	0.0136946	1528.652	0.594	0.0141565	1533.201	0.522	0.0131571	1537.662	0.547	0.015634	1542.144	0.511	0.0135212	1546.668	0.504	0.0150164	1551.151	0.549	0.0145703	1555.636	0.534	0.0141521	1560.194	0.528	0.0139161	1564.713	0.533	0.0151486	1569.163	0.560	0.0160516	1573.719	0.540	0.0140224	1578.224	0.560	0.0155919	1582.773	0.526	0.0109054	1587.296	0.602	0.0145786	
4.593		1510.889	0.490	0.0109279	1515.306	0.482	0.0107159	1519.685	0.493	0.0108381	1524.168	0.513	0.0137512	1528.650	0.594	0.0142613	1533.201	0.521	0.0132287	1537.662	0.545	0.0156632	1542.144	0.509	0.013503	1546.669	0.501	0.015011	1551.152	0.551	0.014665	1555.637	0.532	0.0141206	1560.195	0.527	0.0139648	1564.712	0.531	0.0151272	1569.163	0.561	0.0160892	1573.718	0.539	0.0139909	1578.225	0.558	0.0154479	1582.775	0.526	0.0109173	1587.297	0.602	0.0145998	
5.586		1510.890	0.490	0.010951	1515.305	0.482	0.0107335	1519.685	0.492	0.0108748	1524.167	0.512	0.0137999	1528.650	0.592	0.0142678	1533.202	0.521	0.0132645	1537.663	0.547	0.0157818	1542.144	0.510	0.0136165	1546.669	0.502	0.0151029	1551.153	0.552	0.0148373	1555.635	0.534	0.0142633	1560.193	0.530	0.014085	1564.712	0.532	0.0152332	1569.164	0.560	0.016081	1573.719	0.540	0.0140334	1578.224	0.559	0.0155247	1582.775	0.525	0.0108903	1587.298	0.600	0.014469	
6.592		1510.890	0.488	0.0109706	1515.305	0.482	0.010786	1519.685	0.491	0.0108727	1524.168	0.511	0.0138241	1528.651	0.594	0.0143946	1533.201	0.520	0.0133551	1537.662	0.548	0.0158173	1542.144	0.510	0.0136588	1546.668	0.505	0.0152514	1551.153	0.551	0.0148618	1555.637	0.532	0.014267	1560.194	0.530	0.0141469	1564.713	0.532	0.0152874	1569.163	0.559	0.0161148	1573.718	0.539	0.0140158	1578.224	0.560	0.0155374	1582.775	0.524	0.010873	1587.297	0.602	0.0145609	
7.595		1510.889	0.491	0.0110626	1515.305	0.482	0.0108301	1519.685	0.494	0.0109603	1524.169	0.509	0.0137819	1528.650	0.596	0.014472	1533.202	0.522	0.013374	1537.661	0.546	0.0158026	1542.143	0.507	0.0136037	1546.667	0.507	0.01537	1551.152	0.551	0.0148665	1555.637	0.532	0.0143276	1560.195	0.528	0.0141551	1564.712	0.532	0.0153169	1569.162	0.561	0.0161933	1573.718	0.540	0.0140193	1578.224	0.558	0.0154837	1582.775	0.526	0.0108803	1587.299	0.600	0.0144333	
8.587		1510.890	0.488	0.0110336	1515.305	0.482	0.0108623	1519.685	0.492	0.0109632	1524.169	0.511	0.013918	1528.651	0.593	0.0144354	1533.201	0.522	0.0134193	1537.661	0.544	0.0157906	1542.144	0.512	0.0137293	1546.669	0.504	0.0152548	1551.152	0.550	0.0148702	1555.636	0.532	0.0143259	1560.194	0.529	0.0141653	1564.712	0.532	0.0153014	1569.163	0.559	0.0161553	1573.717	0.538	0.0139535	1578.223	0.560	0.0154991	1582.774	0.525	0.0108388	1587.297	0.600	0.0144191	
9.577		1510.889	0.489	0.0110971	1515.304	0.482	0.0108965	1519.685	0.494	0.011058	1524.168	0.512	0.0139644	1528.651	0.594	0.0145055	1533.201	0.522	0.0134509	1537.662	0.547	0.015924	1542.144	0.510	0.0137168	1546.668	0.503	0.015301	1551.154	0.552	0.0150028	1555.636	0.533	0.0144121	1560.195	0.527	0.014175	1564.712	0.531	0.0152863	1569.163	0.559	0.0161644	1573.717	0.539	0.0139497	1578.224	0.559	0.0154174	1582.774	0.525	0.0107985	1587.297	0.601	0.0143731	
