2.879	378.4	1550.232	0.612	0.102903	
7.878	378.4	1550.232	0.613	0.103073	
12.877	378.4	1550.230	0.613	0.103105	
17.876	378.4	1550.231	0.613	0.103217	
22.865	378.4	1550.231	0.613	0.103132	
27.863	378.4	1550.231	0.614	0.103284	
32.862	378.4	1550.231	0.613	0.10304	
37.861	378.4	1550.232	0.614	0.103271	
42.86	378.4	1550.233	0.613	0.10321	
47.859	378.4	1550.231	0.613	0.102921	
52.858	378.4	1550.232	0.613	0.103051	
57.857	378.4	1550.233	0.614	0.103266	
62.856	378.4	1550.232	0.613	0.103094	
67.855	378.4	1550.233	0.614	0.103192	
72.854	378.4	1550.232	0.613	0.103097	
77.853	378.4	1550.232	0.613	0.103129	
82.852	378.4	1550.231	0.611	0.102849	
87.852	378.4	1550.230	0.610	0.102444	
92.852	378.4	1550.231	0.612	0.103076	
97.852	378.3	1550.233	0.613	0.103269	
102.852	378.4	1550.232	0.613	0.103225	
107.851	378.4	1550.233	0.612	0.102832	
112.851	378.4	1550.233	0.613	0.103137	
117.851	378.4	1550.232	0.612	0.102789	
122.851	378.4	1550.232	0.614	0.10321	
127.85	378.4	1550.231	0.610	0.102452	
132.85	378.3	1550.233	0.614	0.103533	
137.85	378.3	1550.232	0.615	0.103331	
142.85	378.3	1550.231	0.611	0.102684	
147.85	378.3	1550.232	0.614	0.103391	
152.85	378.3	1550.231	0.613	0.103026	
157.85	378.3	1550.231	0.614	0.10316	
162.85	378.3	1550.233	0.614	0.103156	
167.84	378.3	1550.232	0.615	0.103388	
172.84	378.4	1550.233	0.613	0.103153	
177.839	378.4	1550.233	0.612	0.103014	
182.839	378.4	1550.231	0.611	0.102627	
187.839	378.3	1550.232	0.611	0.102814	
192.839	378.3	1550.234	0.614	0.103398	
197.839	378.3	1550.231	0.612	0.102832	
202.839	378.3	1550.231	0.613	0.102876	
207.839	378.3	1550.232	0.616	0.103416	
212.838	378.3	1550.232	0.613	0.103134	
217.838	378.3	1550.232	0.613	0.103039	
222.838	378.3	1550.232	0.612	0.103071	
227.838	378.3	1550.232	0.613	0.102911	
232.838	378.3	1550.232	0.612	0.102912	
237.837	378.3	1550.233	0.613	0.1031	
242.837	378.4	1550.233	0.612	0.102967	
247.837	378.3	1550.231	0.613	0.102924	
252.838	378.4	1550.233	0.613	0.103087	
257.838	378.3	1550.234	0.615	0.103573	
